* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
2832.306004	68.714550
2873.502844	68.618712
2915.298905	68.545905
2957.702904	68.402216
3000.723683	68.211209
3044.370214	68.195681
3088.651599	68.067230
3133.577071	67.971667
3179.155999	67.840481
3225.397888	67.707387
3272.312380	67.613927
3319.909260	67.477691
3368.198452	67.316680
3417.190027	67.077771
3466.894200	67.088431
3517.321337	66.948588
3568.481954	66.833591
3620.386720	66.643522
3673.046457	66.498918
3726.472148	66.323203
3780.674934	66.198197
3835.666117	65.960615
3891.457165	65.802692
3948.059713	65.672027
4005.485564	65.401724
4063.746693	65.283610
4122.855250	65.195963
4182.823560	65.089238
4243.664130	64.923825
4305.389646	64.733250
4368.012981	64.609292
4431.547192	64.463045
4496.005531	64.292256
4561.401437	64.093745
4627.748549	63.986980
4695.060701	63.849702
4763.351932	63.714978
4832.636481	63.524415
4902.928797	63.399964
4974.243539	63.254063
5046.595577	63.071101
5120.000000	62.832902
5194.472115	62.810447
5270.027452	62.679823
5346.681766	62.572271
5424.451043	62.334734
5503.351500	62.285171
5583.399591	62.171750
5664.612008	62.092460
5747.005687	62.019808
5830.597810	61.952086
5915.405808	61.883378
6001.447367	61.828593
6088.740429	61.775724
6177.303198	61.765569
6267.154142	61.785279
6358.311998	61.805276
6450.795775	61.857513
6544.624761	61.936915
6639.818520	61.975746
6736.396904	62.052073
6834.380053	62.290890
6933.788400	62.391601
7034.642675	62.515001
7136.963909	62.674752
7240.773439	62.867651
7346.092914	62.965885
7452.944296	63.104552
7561.349867	63.095917
7671.332234	63.200887
7782.914330	63.307384
7896.119426	63.294210
8010.971128	63.242698
8127.493386	63.121746
8245.710500	62.962881
8365.647121	62.803581
8487.328260	62.644893
8610.779292	62.161410
8736.025961	62.025116
8863.094385	61.780256
8992.011061	61.307562
9122.802874	61.162645
9255.497097	61.021946
9390.121402	60.445407
9526.703863	60.179301
9665.272962	59.731422
9805.857594	59.545974
9948.487077	59.339909
10093.191154	58.918754
10240.000000	58.767566
10388.944230	58.528792
10540.054903	58.227136
10693.363532	58.049510
10848.902086	57.821179
11006.703001	57.505231
11166.799182	57.391996
11329.224017	57.113554
11494.011375	56.783324
11661.195620	56.673995
11830.811616	56.515350
12002.894734	56.256296
12177.480858	56.016656
12354.606395	55.857851
12534.308283	55.610604
12716.623996	55.320702
12901.591551	55.200347
13089.249521	54.983427
13279.637040	54.665558
13472.793808	54.529223
13668.760107	54.349402
13867.576801	54.047681
14069.285350	53.885322
14273.927818	53.683154
14481.546879	53.526688
14692.185828	53.196648
14905.888592	53.069164
15122.699734	52.897691
15342.664467	52.580281
15565.828661	52.455877
15792.238852	52.315999
16021.942256	52.215728
16254.986772	52.057468
16491.420999	51.926835
16731.294241	51.823082
16974.656520	51.767324
17221.558584	51.677638
17472.051922	51.586648
17726.188769	51.510735
17984.022122	51.450778
18245.605748	51.371436
18510.994194	51.388708
18780.242805	51.325322
19053.407727	51.232344
19330.545924	51.267027
19611.715189	51.302214
19896.974155	51.337913
20186.382308	51.350806
