* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
522.852945	61.220737
530.458016	61.252426
538.173706	61.287741
546.001623	61.327517
553.943399	61.354390
562.000691	61.380504
570.175180	61.406998
578.468569	61.433878
586.882588	61.469916
595.418991	61.518509
604.079560	61.550131
612.866100	61.579109
621.780442	61.601169
630.824447	61.623550
640.000000	61.646256
649.309014	61.669293
658.753431	61.692665
668.335221	61.731575
678.056380	61.767780
687.918938	61.799509
697.924949	61.786500
708.076501	61.764937
718.375711	61.793285
728.824726	61.822046
739.425726	61.851225
750.180921	61.880099
761.092554	61.906375
772.162900	61.933033
783.394268	61.941691
794.789000	61.948615
806.349472	61.955640
818.078095	61.962768
829.977315	61.969999
842.049613	61.977335
854.297507	61.984778
866.723550	61.992329
879.330334	62.000129
892.120489	62.008169
905.096680	62.016327
918.261614	62.024603
931.618037	62.033000
945.168733	62.041519
958.916529	62.050161
972.864291	62.062716
987.014928	62.085204
1001.371391	62.108018
1015.936673	62.143791
1030.713812	62.188111
1045.705890	62.233077
1060.916032	62.278696
1076.347412	62.324979
1092.003245	62.369752
1107.886798	62.409431
1124.001383	62.459026
1140.350359	62.528076
1156.937137	62.486325
1173.765175	62.564158
1190.837983	62.643122
1208.159120	62.723235
1225.732199	62.803793
1243.560885	62.869598
1261.648894	62.932227
1280.000000	62.995547
1298.618029	63.056540
1317.506863	63.127485
1336.670442	63.199462
1356.112761	63.272486
1375.837875	63.284122
1395.849898	63.366659
1416.153002	63.426302
1436.751422	63.495119
1457.649452	63.574356
1478.851452	63.652179
1500.361842	63.731133
1522.185107	63.811236
1544.325799	63.891807
1566.788535	64.001421
1589.577999	64.109185
1612.698944	64.207353
1636.156190	64.337373
1659.954630	64.463259
1684.099226	64.590977
1708.595013	64.719441
1733.447100	64.819322
1758.660669	64.978006
1784.240977	65.136713
1810.193360	65.293100
1836.523229	65.451651
1863.236074	65.612509
1890.337467	65.710932
1917.833058	65.869648
1945.728583	66.028302
1974.029857	66.218967
2002.742782	66.416874
